No.,Longitude,Latitude,Climate,MAT (C),MAP(mm),Ecosystem,Restoration time (years),Soil depth (cm),Ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
116,104.42,36.03,Temperate,6.2,320,Non-forest,7,10,9.08,-0.2995,0.0488,0.2325,,-0.1481,0.0318,0.3757,,,,,
117,104.42,36.03,Temperate,6.2,320,Non-forest,13,10,9.08,-0.5346,0.0071,0.116,,-0.3721,0.422,0.5235,,,,,
118,104.42,36.03,Temperate,6.2,320,Non-forest,19,10,9.08,-0.5252,-0.0664,0.1749,,-0.0837,0.456,0.6808,,,,,
119,104.42,36.03,Temperate,6.2,320,Non-forest,23,10,9.08,-0.0122,-0.1459,0.2137,,-0.0189,0.4065,0.9216,,,,,
120,104.42,36.03,Temperate,6.2,320,Non-forest,2,40,6.66,0.0164,0.2248,,,0.1102,,,,,,,
121,104.42,36.03,Temperate,6.2,320,Non-forest,3,40,6.66,0.3729,-0.0247,,,0.1914,,,,,,,
122,104.42,36.03,Temperate,6.2,320,Non-forest,7,40,6.66,-0.1263,0.1645,,,-0.0391,,,,,,,
123,104.42,36.03,Temperate,6.2,320,Non-forest,13,40,6.66,-0.5048,0.1223,,,-0.1272,,,,,,,
124,104.42,36.03,Temperate,6.2,320,Non-forest,19,40,6.66,-0.5098,0.2441,,,0.0601,,,,,,,
125,104.42,36.03,Temperate,6.2,320,Non-forest,23,40,6.66,0.1161,-0.0415,,,0.0983,,,,,,,
126,104.42,36.03,Temperate,6.2,320,Non-forest,2,80,4.34,0.7,0.0369,,,0.0736,,,,,,,
127,104.42,36.03,Temperate,6.2,320,Non-forest,3,80,4.34,1.0729,-0.0946,,,-0.0899,,,,,,,
128,104.42,36.03,Temperate,6.2,320,Non-forest,7,80,4.34,0.635,0.1722,,,0.2152,,,,,,,
129,104.42,36.03,Temperate,6.2,320,Non-forest,13,80,4.34,-0.3268,0.1335,,,-0.3766,,,,,,,
130,104.42,36.03,Temperate,6.2,320,Non-forest,19,80,4.34,0.1998,0.1269,,,-0.011,,,,,,,
131,104.42,36.03,Temperate,6.2,320,Non-forest,23,80,4.34,0.3869,-0.0863,,,-0.1594,,,,,,,
132,104.42,36.03,Temperate,6.2,320,Non-forest,1,10,8.36,-0.0193,-0.0225,-1.2039,,-2.3786,,,,,,,
133,104.42,36.03,Temperate,6.2,320,Non-forest,2,10,8.36,0.227,0.2793,-0.0319,,-1.457,,,,,,,
