No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
85,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5,5,7.04,0.3429,0.3851,0.1431,NA,NA,0.5685,0.4476,NA,NA,NA,NA,NA
86,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6,5,7.04,0.3698,0.4255,0.3142,NA,NA,0.6209,0.7716,NA,NA,NA,NA,NA
87,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9,5,7.04,0.348,0.3851,-0.08,NA,NA,0.2479,0.5053,NA,NA,NA,NA,NA
88,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10,5,7.04,0.3834,0.3953,-0.0313,NA,NA,0.2341,0.4151,NA,NA,NA,NA,NA
89,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26,5,7.04,0.5821,0.5017,-0.0473,NA,NA,1.0162,0.9639,NA,NA,NA,NA,NA
90,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3,20,6.64,0.3592,0.5895,-0.0323,NA,NA,-0.1341,-0.0319,NA,NA,NA,NA,NA
91,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5,20,6.64,0.3624,0.3429,0.1054,NA,NA,-0.1891,-0.1514,NA,NA,NA,NA,NA
92,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6,20,6.64,0.3582,0.3851,0.2263,NA,NA,-0.1812,0.1003,NA,NA,NA,NA,NA
93,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9,20,6.64,0.0105,0.073,-0.1178,NA,NA,-0.8068,-0.3185,NA,NA,NA,NA,NA
94,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10,20,6.64,0.2399,0.2171,-0.0827,NA,NA,-0.9084,-0.7681,NA,NA,NA,NA,NA
95,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26,20,6.64,0.4439,0.4255,-0.016,NA,NA,0.2745,0.0848,NA,NA,NA,NA,NA
96,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3,45,NA,NA,1.2498,0.6931,NA,NA,1.6345,1.5892,NA,NA,NA,NA,NA
97,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,5,45,5.18,0.1148,0.63,0.3202,NA,NA,1.0343,1.0915,NA,NA,NA,NA,NA
98,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,6,45,5.18,0.3925,0.539,0.4364,NA,NA,0.4331,1.5075,NA,NA,NA,NA,NA
99,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,9,45,5.18,-0.1209,-0.0852,-0.1636,NA,NA,0.0495,0.8241,NA,NA,NA,NA,NA
100,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,10,45,5.18,-0.0454,-0.0417,-0.019,NA,NA,0.0801,0.1301,NA,NA,NA,NA,NA
101,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,26,45,5.18,0.5446,0.5508,0.1072,NA,NA,0.8906,1.0778,NA,NA,NA,NA,NA
102,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,7,10,5.48,0.0288,-0.0328,NA,NA,-0.0332,-0.0454,0.0439,NA,0.0278,-0.0431,0.0574,NA
103,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,11,10,5.48,0.117,-0.0841,NA,NA,-0.0574,0.0229,0.014,NA,-0.0564,0.008,0.0701,NA
104,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,20,10,5.48,0.163,0.0924,NA,NA,-0.1718,0.1369,0.0771,NA,-0.0045,0.0785,0.0906,NA
105,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,43,10,5.48,0.4657,0.3037,NA,NA,-0.0234,0.5545,0.4756,NA,0.186,0.1979,0.2261,NA
106,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,7,30,4.15,0.0787,0.0706,NA,NA,-0.0399,0.0539,0.0344,NA,0.1113,0.0527,-0.0118,NA
107,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,11,30,4.15,0.1517,0.1151,NA,NA,0.0553,0.1093,0.072,NA,-0.1424,0.0647,0.0317,NA
108,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,20,30,4.15,0.2389,0.1576,NA,NA,-0.0775,0.1542,0.0928,NA,-0.0195,0.1121,0.0443,NA
109,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,43,30,4.15,0.362,0.2938,NA,NA,0.0332,0.3761,0.3655,NA,0.2914,0.2655,0.2371,NA
110,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,7,50,3.76,0.0027,-0.0588,NA,NA,-0.06,0.0611,0.0753,NA,-0.0288,0.0698,-0.0524,NA
111,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,11,50,3.76,0.0743,0.0822,NA,NA,-0.013,0.174,0.1159,NA,-0.0585,0.057,0.0244,NA
112,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,20,50,3.76,0.1388,0.2059,NA,NA,-0.0925,0.1569,0.0907,NA,-0.013,0.0787,0.0483,NA
113,20,Jiang 2007,104.42,36.03,6.2,320,Non-forest,43,50,3.76,0.3068,0.3159,NA,NA,0.0255,0.3412,0.3193,NA,0.1396,0.224,0.1972,NA
114,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,2,10,9.08,-0.1845,0.0212,0.4465,NA,0.0792,-0.2334,0.4494,NA,NA,NA,NA,NA
